|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| Path                       | Type | Description                                 | Usage                | Format | Size  |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/styles/global.css   | file | Глобальные CSS стили для всего приложения   | All pages            | CSS    | 2KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/fonts/SegoeUI.woff2 | file | Основной шрифт интерфейса                   | Global               | WOFF2  | 45KB  |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/images/logo.svg     | file | Логотип системы поддержки                   | Header               | SVG    | 3KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/images/auth-bg.jpg  | file | Фоновое изображение для экранов авторизации | Login page           | JPG    | 120KB |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/icons/ticket.svg    | file | Иконка заявки                               | Request cards        | SVG    | 1KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/icons/user.svg      | file | Иконка пользователя                         | Profile page         | SVG    | 1KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/locales/en.json     | file | Английская версия интерфейса                | Internationalization | JSON   | 8KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
| assets/locales/ru.json     | file | Русская версия интерфейса                   | Internationalization | JSON   | 8KB   |
|----------------------------|------|---------------------------------------------|----------------------|--------|-------|
