|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| Page              | Path                                             | Route           | Description                 | Auth Required | User Roles           | Layout      | Has Tests |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| AdminPage         | sections/AdminPage/AdminPage.tsx                 | /admin          | Страница администратора     | Yes           | admin                | AppLayout   | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| AdminPanel        | sections/AdminPanel/AdminPanel.tsx               | N/A (компонент) | Панель администратора       | Yes           | admin                | AppLayout   | No        |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| CreateRequestPage | sections/CreateRequestPage/CreateRequestPage.tsx | /create-request | Создание нового запроса     | Yes           | user;moderator;admin | AppLayout   | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| HelpPage          | sections/HelpPage/HelpPage.tsx                   | /help           | Помощь и FAQ                | No            | all                  | AppLayout   | No        |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| LoginPage         | sections/LoginPage/LoginPage.tsx                 | /login          | Страница входа в систему    | No            | all                  | EmptyLayout | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| MainPage          | sections/MainPage/MainPage.tsx                   | /               | Главная страница приложения | Yes           | user;moderator;admin | AppLayout   | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| ModerationPage    | sections/ModerationPage/ModerationPage.tsx       | /moderation     | Модерация запросов          | Yes           | moderator;admin      | AppLayout   | No        |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| NotFoundPage      | sections/NotFoundPage/NotFoundPage.tsx           | *               | Страница 'Не найдено'       | No            | all                  | EmptyLayout | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
| ProfilePage       | sections/ProfilePage/ProfilePage.tsx             | /profile        | Профиль пользователя        | Yes           | user;moderator;admin | AppLayout   | Yes       |
|-------------------|--------------------------------------------------|-----------------|-----------------------------|---------------|----------------------|-------------|-----------|
