|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| Section           | Path                                             | Type      | Description                      | Parent Component | Has Tests |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| AdminPage         | sections/AdminPage/AdminPage.tsx                 | Page      | Страница администратора          | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| AdminPanel        | sections/AdminPanel/AdminPanel.tsx               | Component | Панель управления администратора | AdminPage        | No        |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| CreateRequestPage | sections/CreateRequestPage/CreateRequestPage.tsx | Page      | Создание нового запроса          | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| HelpPage          | sections/HelpPage/HelpPage.tsx                   | Page      | Помощь и FAQ                     | App              | No        |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| LoginPage         | sections/LoginPage/LoginPage.tsx                 | Page      | Страница авторизации             | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| MainPage          | sections/MainPage/MainPage.tsx                   | Page      | Главная страница                 | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| ModerationPage    | sections/ModerationPage/ModerationPage.tsx       | Page      | Модерация запросов               | App              | No        |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| NotFoundPage      | sections/NotFoundPage/NotFoundPage.tsx           | Page      | Страница 404                     | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
| ProfilePage       | sections/ProfilePage/ProfilePage.tsx             | Page      | Профиль пользователя             | App              | Yes       |
|-------------------|--------------------------------------------------|-----------|----------------------------------|------------------|-----------|
