|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Component      | Path                                             | Stories Count | Last Updated | Test Coverage |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| AuthModal      | auth/AuthModal.stories.tsx                       |             3 |   2023-11-15 | High          |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Button         | common/Button/Button.stories.tsx                 |             5 |   2023-10-20 | High          |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Card           | common/Card/Card.stories.tsx                     |             4 |   2023-10-22 | Medium        |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Checkbox       | common/Checkbox/Checkbox.stories.tsx             |             3 |   2023-10-18 | High          |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Input          | common/Input/Input.stories.tsx                   |             4 |   2023-10-25 | High          |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Select         | common/Select/Select.stories.tsx                 |             3 |   2023-11-05 | Medium        |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| Tab            | common/Tab/Tab.stories.tsx                       |             2 |   2023-09-30 | Low           |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| TabsNavigation | common/TabsNavigation/TabsNavigation.stories.tsx |             3 |   2023-11-10 | Medium        |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| UserInfo       | auth/UserInfo.stories.tsx                        |             2 |   2023-11-12 | High          |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
| AppHeader      | layout/AppHeader/AppHeader.stories.tsx           |             3 |   2023-11-18 | Medium        |
|----------------|--------------------------------------------------|---------------|--------------|---------------|
