|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| Type     | Path             | Description               | Properties                                                                                                 | Used In                   |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| User     | types/app.d.ts   | Информация о пользователе | id: string; name: string; email: string; role: 'user' | 'moderator' | 'admin'                              | AuthContext, ProfilePage  |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| Request  | types/app.d.ts   | Данные запроса            | id: string; title: string; description: string; status: 'open' | 'pending' | 'resolved'; createdAt: string | RequestCard, RequestTable |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| Ticket   | types/app.d.ts   | Детали тикета             | id: string; requestId: string; messages: Message[]; assignedTo?: string                                    | TicketModal               |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| Theme    | types/theme.d.ts | Тема оформления           | colors: { primary: string; background: string; text: string }; fonts: { main: string }                     | ThemeProvider             |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
| ApiError | types/api.d.ts   | Ошибка API                | message: string; code: number; timestamp?: string                                                          | API services              |
|----------|------------------|---------------------------|------------------------------------------------------------------------------------------------------------|---------------------------|
